posting_id,status,headhunting_company,url,title,company_desc,main_duties,requirements,preferred,career,location,salary,deadline,first_seen_at,last_seen_at,last_fetched_at,score
330526,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/330526,(주)헤딩써치 채용 | A&R 실장급 경력직 공고 - 리멤버,(주)헤딩써치에서 A&R 실장급를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
330527,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/330527,(주)헤딩써치 채용 | [글로벌 퍼블리싱 기업] 대표이사 경력직 공고 - 리멤버,(주)헤딩써치에서 [글로벌 퍼블리싱 기업] 대표이사를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
330563,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/330563,(주)헤딩써치 채용 | D2C기반 고성장 기업 인플루언서 마케터 경력직 공고 - 리멤버,(주)헤딩써치에서 D2C기반 고성장 기업 인플루언서 마케터를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
330565,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/330565,(주)헤딩써치 채용 | D2C 뷰티·건기식 고성장기업 오프라인MD 경력직 공고 - 리멤버,(주)헤딩써치에서 D2C 뷰티·건기식 고성장기업 오프라인MD를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
330567,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/330567,(주)헤딩써치 채용 | D2C기반 뷰티 고성장 기업 상품기획 팀장 경력직 공고 - 리멤버,(주)헤딩써치에서 D2C기반 뷰티 고성장 기업 상품기획 팀장를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,70
331004,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331004,(주)헤딩써치 채용 | 뷰티 글로벌 MD(아마존) - 팀장급 경력직 공고 - 리멤버,(주)헤딩써치에서 뷰티 글로벌 MD(아마존) - 팀장급를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,70
331153,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331153,(주)헤딩써치 채용 | 미국향 브랜드 마케터(뷰티) 경력직 공고 - 리멤버,(주)헤딩써치에서 미국향 브랜드 마케터(뷰티)를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
331536,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331536,(주)헤딩써치 채용 | 개인정보보호 담당자 경력직 공고 - 리멤버,(주)헤딩써치에서 개인정보보호 담당자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
331543,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331543,(주)헤딩써치 채용 | 시스템 운영 담당자 경력직 공고 - 리멤버,(주)헤딩써치에서 시스템 운영 담당자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
331547,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331547,(주)헤딩써치 채용 | 웹/앱 어플리케이션 개발자 경력직 공고 - 리멤버,(주)헤딩써치에서 웹/앱 어플리케이션 개발자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
